Console,Game,Collection,Genre,,Time,Score,Video,Speedrun,,,,Active,Done,
GB,Tamagotchi,,Virtual Pet,,,,,,,,,x,,
GB,Tamagotchi 2,,Virtual Pet,,,,,,,,,x,,
GB,Teenage Mutant Ninja Turtles II - Back From The Sewers,,Beat 'm Up,,,,,,,,,x,,
GB,Terminator 2,,Action,,,,,,,,,x,,
GB,Tetris,,Puzzle,,,,,,,,,x,,
GB,Tetris 2,,Puzzle,,,,,,,,,x,,
GB,Tetris Attack,,Puzzle,,,,,,,,,x,,
GB,The Addams Family,,Platformer,,01:19.847,7,https://youtu.be/2S7be8S0FoQ,x,,,,x,x,
GB,The Addams Family: Pugsley's Scavenger Hunt,,Platformer,,1:40:05,4,https://youtu.be/V7bXV0erWdU,,,,,x,x,
GB,The Amazing Spider-Man,,Platformer,,1:04:42,4,https://youtu.be/2GzGiv445AY,,,,,x,x,
GB,The Castlevania Adventure,,Platformer,,,,,,,,,x,,
GB,The Hunchback of the Notre Dame,,Misc.,,,,,,,,,x,,
GB,The Jungle Book,,Platformer,,,,,,,,,x,,
GB,The Legend of Prince Valiant,,Action/Strategy,,,,,,,,,x,,
GB,The Legend of Zelda: Link's Awakening,,Adventure,,,,,,,,,x,,
GB,The Lion King,,Platformer,,0:57:16,3,https://youtu.be/C8FjBkMEfiQ,,,,,x,x,
GB,The Little Mermaid,,Platformer,,,,,,,,,x,,
GB,The Smurfs,,Platformer,,0:55:19,7,https://youtu.be/s_f8by_74dY,,,,,x,x,
GB,Tintin au Tibet,,Platformer,,,,,,,,,x,,
GB,Tiny Toon Adventures: Wacky Sports,,Sports,,1:36:48,5,https://youtu.be/xNyi41Of5vk,,,,,x,x,
GB,Tiny Toon: Bab's Big Break,,Platformer,,,,,,,,,x,,
GB,Tip Off,,Sports,,,,,,,,,x,,
GB,Toy Story,,Platformer,,,,,,,,,x,,
GB,V-Rally,,Racing,,1:10:45,7,https://youtu.be/jiqBqjuGn2M,,,,,x,x,
GB,Wario Land: Super Mario Land 3,,Platformer,,,,,,,,,x,,
GB,Wizards & Warriors X: Fortress of Fear,,Platformer,,,,,,,,,x,,
GB,World Bowling,,Sports,,0:41:10,2,https://youtu.be/3nFhZRUfTCQ,,Partial Completion,,,x,,
GB,World Heroes 2 Jet,,Fighting,,0:55:11,5,https://youtu.be/DtGsAuH3wT0,,,,,x,x,
GB,WWF War Zone,,Fighting,,,,,,,,,x,,
GB,WWF: Superstars,,Fighting,,,,,,,,,x,,
GB,Yoshi's Cookie,,Puzzle,,,,,,,,,x,,
GB,Yū Yū Hakusho Dai-Ni-Dan: Ankoku Bujutsu Kai Hen,,Fighting,,,,,,,,,x,,
GB,Yu-Gi-Oh! Duel Monsters,,Cardgame,,10:29:38,7,https://www.youtube.com/playlist?list=PLlNqyLg7AQBCu8YgUM3Wwvel-z6IjcHz2,,,,,x,x,
GB,Zoids,,Shmup,,,,,,--- boxart ---,,,x,,
GBA,Banjo-Kazooie: Grunty's Revenge,,Adventure/Platformer,,,,,,,,,x,,
GBA,Big Mutha Truckers,,Racing,,,,,,,,,x,,
GBA,Caesars Palace Advance: Millenium Gold Edition,,Misc.,,,,,,,,,x,,
GBA,Cars,,Racing,,,,,,,,,x,,
GBA,Castlevania: Circle of the Moon,,Adventure/Platformer,,,,,,,,,x,,
GBA,Crash Bandicoot XS,,Platformer,,5:52:00,8,https://youtu.be/0v2Rp61v_wE,,,,,x,x,
GBA,Dogz,,Virtual Pet,,4:57:02,5,https://youtu.be/_8FOyoocy7o,,,,,x,x,
GBA,E-Reader,,Misc.,,,,,,,,,x,,
GBA,Ecks Vs Sever,,FPS,,,,,,,,,x,,
GBA,F-Zero GP Legend,,Racing,,,,,,,,,x,,
GBA,F-Zero Maximum Velocity,,Racing,,,,,,,,,x,,
GBA,Franklin's Great Adventures,,Misc.,,,,,,,,,x,,
GBA,Golden Sun,,RPG,,,,,,,,,x,,
GBA,Harry Potter and the Philosopher's Stone,,Adventure,,,,,,,,,x,,
GBA,Ice Age,,Platformer,,,,,,,,,x,,
GBA,ISS: International Superstar Soccer,,Sports,,,,,,,,,x,,
GBA,It's Mr. Pants,,Puzzle,,,,,,,,,x,,
GBA,Jackie Chan Adventures: Legend of the Dark Hand,,Beat 'm Up,,2:55:15,4,https://youtu.be/ksjbwJ7b0Ps,,,,,x,x,
GBA,Kirby: Nightmare in Dreamland,,Platformer,,,,,,,,,x,,
GBA,Kurukuru Kururin,,Arcade,,,,,,,,,x,,
GBA,Lego Bionicle,,Adventure,,,,,,,,,x,,
GBA,Madagascar Operation Penguin,Shrek 2 / Madagascar Operation Penguin,Platformer,,,,,,,,,x,,
GBA,Mario Kart Super Circuit,,Racing,,,,,,,,,x,,
GBA,Medabots Metabee,,RPG,,,,,,,,,x,,
GBA,Megaman & Bass,,Platformer,,,,,,,,,x,,
GBA,Megaman Battle Network 3: White,,RPG,,,,,,,,,x,,
GBA,Megaman Battle Network 4: Red Sun,,RPG,,,,,,,,,x,,
GBA,Megaman Zero,,Platformer,,,,,,,,,x,,
GBA,Mission: Impossible,,Tactical Shooter,,,,,,,,,x,,
GBA,Pirates of the Caribbean: The Curse of the Black Pearl,,Adventure,,,,,,,,,x,,
GBA,Pitfall: The Lost Expedition,,Adventure,,,,,,,,,x,,
GBA,Pokémon Emerald,,RPG,,,,,,,,,x,,
GBA,Pokémon LeafGreen,,RPG,,11:28:32,8,https://www.youtube.com/playlist?list=PLlNqyLg7AQBCG7JsPWN4-2lRXY-oXlbR5,,,,,x,x,
GBA,Pokémon Ruby,,RPG,,,,,,,,,x,,
GBA,Pokémon Sapphire,,RPG,,,,,,,,,x,,
GBA,Pong & Asteroids & Yars' Revenge,,Arcade,,,,,,,,,x,,
GBA,Prince of Persia: The Sands of Time,,Platformer,,,,,,,,,x,,
GBA,Rayman 3,Rayman 10th Anniversary,Platformer,,4:20:34,8,https://youtu.be/wxqPID1j3Mc,,,,,x,x,
GBA,Rayman Advance,Rayman 10th Anniversary,Platformer,,15:26:24,6,https://www.youtube.com/playlist?list=PLlNqyLg7AQBC1wbod1goABaSj3wdOi8sp,,,,,x,x,
GBA,Shrek 2,Shrek 2 / Madagascar Operation Penguin,Puzzle/Platformer,,,,,,,,,x,,
GBA,Sonic Advance 2,,Platformer,,,,,,,,,x,,
GBA,Sonic Battle,,Fighting,,,,,,,,,x,,
GBA,Spyro 2: Season of Flame,,Platformer,,,,,,,,,x,,
GBA,Super Mario Advance 4: Super Mario Bros. 3,,Platformer,,,,,,,,,x,,
GBA,The Incredibles,,Beat 'm Up,,,,,,,,,x,,
GBA,The Lord of the Rings: The Return of the King,,Beat 'm Up,,,,,,,,,x,,
GBA,The Urbz: Sims in the City,,Sim.,,,,,,,,,x,,
GBA,Ultimate Brain Games,,Misc.,,,,,,,,,x,,
GBA,Yoshi's Universal Gravitation,,Platformer,,3:31:51,4,https://youtu.be/VZ6c4dKowaM,,,,,x,x,
GBA,Yu-Gi-Oh! Duel Monsters International: Worldwide Edition,,Cardgame,,,,,,,,,x,,
GBC,007 The World Is Not Enough,,Action/Adventure,,5:43:20,3,https://youtu.be/XfbWYUcKL_I,,,,,x,x,
GBC,10 Pin Bowling,,Sports,,0:03:35,2,https://youtu.be/wCCFweVxdtI,,,,,x,x,
GBC,102 Dalmatians: Puppies to the Rescue,,Platformer,,1:14:39,8,https://youtu.be/bo8QytXoRGE,,,,,x,x,
GBC,3D Pocket Pool,,Sports,,,2,https://youtu.be/fK-JaENfU7I,,Partial Completion,,,x,,
GBC,4x4 World Trophy,,Racing,,2:19:37,4,https://youtu.be/_UC7gOrJf7U,,,,,x,x,
GBC,720°,,Sports,,0:25:24,3,https://youtu.be/RtNNldgqdvY,,,,,x,x,
GBC,A Bug's Life,,Platformer,,0:50:19,4,https://youtu.be/9O_cuh_0miM,,,,,x,x,
GBC,Action Man: Search for Base X,,Platformer,,1:52:32,7,https://youtu.be/oHSoTMm-ees,,,,,x,x,
GBC,Alfred's Adventure,,Platformer,,1:36:11,7,https://youtu.be/cfJ1idMapPY,,,,,x,x,
GBC,Alone in the Dark: The New Nightmare,,Survival Horror,,1:02:44,6,https://youtu.be/xxjGO4EbIxA,,,,,x,x,
GBC,Animorphs,,RPG,,,,,,,,,x,,
GBC,Antz,,Platformer,,1:42:02,6,https://youtu.be/2qwRWKItZwA,,,,,x,x,
GBC,Antz Racing,,Racing,,0:21:44,5,https://youtu.be/AaG-TECDO8M,,,,,x,x,
GBC,Antz World Sportz,,Sports,,0:25:37,4,https://youtu.be/OG-7FY_ls_k,,,,,x,x,
GBC,Army Men,,Shooter,,1:18:20,5,https://youtu.be/JKp9r9Tdbjc,,,,,x,x,
GBC,Army Men: Air Combat,,Shooter,,2:24:40,5,https://youtu.be/cyyzWu1VvI8,,,,,x,x,
GBC,Army Men: Sarge's Heroes 2,,Shooter,,,,,,,,,x,,
GBC,Asterix & Obelix,,Platformer,,0:45:56,7,https://youtu.be/4QHMj6vV78c,,,,,x,x,
GBC,Beach 'n Ball,,Sports,,,,,,,,,x,,
GBC,Black Bass Lure Fishing,,Sports,,,,,,,,,x,,
GBC,Carmageddon,,Racing,,,,,,,,,x,,
GBC,Carl Lewis Athletics 2000,,Sports,,,,,,,,,x,,
GBC,Casper,,Adventure,,4:16:25,2,https://youtu.be/UorxApp8rkM,,,,,x,x,
GBC,Catz,,Virtual Pet,,,,,,,,,x,,
GBC,Conker's Pocket Tales,,Adventure,,,,,,,,,x,,
GBC,Croc 2,,Platformer,,,,,,,,,x,,
GBC,Daikatana,,Action/Adventure,,,,,,,,,x,,
GBC,Das Geheimnis der Happy Hippo-Insel,,Platformer,,0:39:12,7,https://youtu.be/Fqmg99wzlAw,,,,,x,x,
GBC,Déjà Vu I & II: The Casebooks of Ace Harding,,Adventure,,,,,,,,,x,,
GBC,Disney's Aladdin,,Platformer,,,,,,,,,x,,
GBC,Disney's Tarzan,*broken sound on GBA,Platformer,,,,,,,,,x,,
GBC,Donkey Kong Country,,Platformer,,,,,,,,,x,,
GBC,E.T. Escape From Planet Earth,,Adventure,,,,,,,,,x,,
GBC,Earthworm Jim: Menace 2 The Galaxy,,Platformer,,,,,,,,,x,,
GBC,F1 World Grand Prix II,,Racing,,,,,,,,,x,,
GBC,Gex: Enter the Gecko,,Platformer,,,,,,,,,x,,
GBC,Gift,,Adventure,,05:54.366,5,https://youtu.be/zjhypHYmA9o,x,,,,x,x,
GBC,Gold and Glory: The Road to El Dorado,,Platformer,,,,,,,,,x,,
GBC,Harry Potter and the Philosopher's Stone,,Adventure,,,,,,,,,x,,
GBC,Hugo,,Platformer,,2:50:24,6,https://youtu.be/-a3fgVruTa0,,,,,x,x,
GBC,International Superstar Soccer 2000,,Sports,,,,,,,,,x,,
GBC,Klustar,,Puzzle,,,,,,,,,x,,
GBC,Lucky Luke,,Platformer,,,,,,,,,x,,
GBC,Magical Tetris Challenge,,Puzzle,,,,,,,,,x,,
GBC,Metal Gear Solid,,Tactical Shooter,,9:30:32,7,https://www.youtube.com/playlist?list=PLlNqyLg7AQBDL9Rs0FDwyFcJKYev7QbwE,,,,,x,x,
GBC,Microsoft Pinball Arcade,,Pinball,,,,,,,,,x,,
GBC,Mr. Nutz,,Platformer,,,,,,,,,x,,
GBC,Ms. Pac-Man - Special Colour Edition,,Arcade,,,,,,,,,x,,
GBC,NYR: New York Race,,Racing,,,,,,,,,x,,
GBC,Perfect Dark,,Shooter,,,,,,,,,x,,
GBC,Pokémon Crystal,,RPG,,,,,,,,,x,,
GBC,Pokémon Gold,,RPG,,13:34:38,9,https://www.youtube.com/playlist?list=PLlNqyLg7AQBAHcJn0GjkPZfdOXrLxqypP,,,,,x,x,
GBC,Pokémon Pinball,,Pinball,,,,,,,,,x,,
GBC,Pokémon Silver,,RPG,,,,,,,,,x,,
GBC,Pokémon Trading Card Game,,Cardgame,,,,,,,,,x,,
GBC,Prince of Persia,,Platformer,,,,,,,,,x,,
GBC,R-Type DX,,Shmup,,0:50:39,5,https://youtu.be/eCYcMnZAG9E,,,,,x,x,
GBC,Rhino Rumble,,Platformer,,,,,,,,,x,,
GBC,Roadsters,,Racing,,,,,,,,,x,,
GBC,"Roswell Conspiracies: Aliens, Myths & Legends",,Adventure,,,,,,,,,x,,
GBC,Sabrina Spooked,,Platformer,,,,,,,,,x,,
GBC,Sabrina Zapped,,Platformer,,,,,,,,,x,,
GBC,Scrabble Original,,Boardgames,,,,,,,,,x,,
GBC,Spiderman,,Platformer,,,,,,,,,x,,
GBC,Tech Deck Skateboarding,,Sports,,1:59:17,4,https://youtu.be/4185M8W5TDU,,,,,x,x,
GBC,The Jungle Book: Mowgli's Wild Adventure,,Platformer,,2:49:57,7,https://youtu.be/nPJXuSRZcXg,,,,,x,x,
GBC,The Little Mermaid II: Pinball Frenzy,,Pinball,,,,,,,,,x,,
GBC,Tom and Jerry: Mousehunt,,Arcade,,,,,,,,,x,,
GBC,Tomb Raider,,Platformer,,,,,,,,,x,,
GBC,Toonsylvania,,Platformer,,2:21:14,4,https://youtu.be/7gyqdkIOWmk,,,,,x,x,
GBC,Top Gun: Firestorm,,Shmup,,,,,,,,,x,,
GBC,Turok 2: Seeds of Evil,,Platformer,,2:52:03,3,https://youtu.be/_MneO-6gz-o,,,,,x,x,
GBC,V-Rally Championship Edition,,Racing,,2:00:50,8,https://youtu.be/O_SpYYHUFfg,x,https://youtu.be/Xg0b3fZwglM,,,x,x,
GBC,Wacky Races,,Racing,,2:35:08,5,https://youtu.be/6Bnk9SGrXnI,,,,,x,x,
GBC,Walt Disney World Quest: Magical Racing Tour,,Racing,,,,,,,,,x,,
GBC,Wario Land II,,Platformer,,,,,,,,,x,,
GBC,Warriors of Might and Magic,,RPG,,,,,,,,,x,,
GBC,Wendy: Every Witch Way,,Platformer,,0:19:40,9,https://youtu.be/KpCdt59oyzs,x,,,,x,x,
GBC,Winnie the Pooh: Adventures in the 100 Acre Wood,,Misc.,,,,,,,,,x,,
GBC,WWF Betrayal,,Beat 'm Up,,,,,,,,,x,,
GCN,Beyond Good & Evil,,Adventure,,11:15:08,8,https://www.youtube.com/playlist?list=PLlNqyLg7AQBCTb6czBcEc8XeGA2mvjANF,,,,,x,x,
GCN,Die Hard Vendetta,,FPS,,11:10:37,3,https://www.youtube.com/playlist?list=PLlNqyLg7AQBCsyDMEchguD42R6gCb4fNi,,,,,x,x,
GCN,Disney's Magical Mirror Starring Mickey Mouse,,Puzzle,,,,,,,,,x,,
GCN,Donkey Konga,,Rythm,,8:04:26,7,,,,,,x,x,
GCN,Donkey Konga 2,,Rythm,,,,,,,,,x,,
GCN,Dragonball Z: Budokai,,Fighting,,,,,,,,,x,,
GCN,Eternal Darkness,,Survival Horror,,15:04:09,8,https://www.youtube.com/playlist?list=PLlNqyLg7AQBCpDpsEXLOsCD1Z-mIU3MiE,,,,,x,x,
GCN,F-Zero GX,,Racing,,,,,,,,,x,,
GCN,James Bond 007: Everything or Nothing,,Shooter,,,,,,,,,x,,
GCN,Mario Party 5,,Party,,,,,,,,,x,,
GCN,Medal of Honor: European Assault,,FPS,,,,,,,,,x,,
GCN,Medal of Honor: Frontline,,FPS,,,,,,,,,x,,
GCN,Metroid Prime,,Adventure/Shooter,,,,,,,,,x,,
GCN,Metroid Prime 2: Echoes,,Adventure/Shooter,,,,,,,,,x,,
GCN,Mortal Kombat: Deadly Alliance,,Fighting,,,,,,,,,x,,
GCN,Need for Speed: Carbon,,Racing,,,,,,,,,x,,
GCN,Outlaw Golf,,Sports,,,,,,,,,x,,
GCN,Peter Jackson's King Kong,,Adventure/FPS,,,,,,,,,x,,
GCN,Pikmin,,Action/Puzzle,,,,,,,,,x,,
GCN,Prince of Persia: The Sands of Time,,Action/Platformer,,,,,,,,,x,,
GCN,Prince of Persia: Warrior Within,,Action/Platformer,,,,,,,,,x,,
GCN,Resident Evil,,Survival Horror,,,,,,,,,x,,
GCN,Resident Evil Zero,,Survival Horror,,,,,,,,,x,,
GCN,Sega Soccer Slam,,Sports,,3:47:04,7,https://youtu.be/pzRX30BR-dE,,,,,x,x,
GCN,Star Wars: Rogue Leader,,Action,,,,,,,,,x,,
GCN,Super Mario Sunshine,,Platformer,,,,,,,,,x,,
GCN,Super Monkey Ball,,Action,,,,,,,,,x,,
GCN,Super Smash Bros. Melee,,Fighting,,,,,,,,,x,,
GCN,The Legend of Zelda: Ocarina of Time,,Adventure,,,,,,,,,x,,
GCN,The Legend of Zelda: The Wind Waker,,Adventure,,,,,,,,,x,,
GCN,The Sims - Bustin' Out,,Sim.,,,,,,,,,x,,
GCN,Tony Hawk's Pro Skater 3,,Sports,,,,,,,,,x,,
GCN,Tony Hawk's Underground 2,,Sports,,,,,,,,,x,,
Genesis,Altered Beast,,Beat 'm Up,,,,,,,,,x,,
Genesis,Arrow Flash,,Shmup,,,,,,,,,x,,
Genesis,Columns,Mega Games 6,Puzzle,,,,,,,,,x,,
Genesis,Dragon's Revenge,,Pinball,,,,,,,,,x,,
Genesis,ECCO: The Tides of Time,,Adventure,,,,,,,,,x,,
Genesis,F22 Interceptor,,Shooter,,,,,,,,,x,,
Genesis,FIFA International Soccer,,Sports,,,,,,,,,x,,
Genesis,Golden Axe,Mega Games 6,Beat 'm Up,,,,,,,,,x,,
Genesis,Golden Axe II,,Beat 'm Up,,,,,,,,,x,,
Genesis,James Pond II,,Platformer,,,,,,,,,x,,
Genesis,Jurassic Park,,Platformer,,,,,,,,,x,,
Genesis,Last Battle,,Beat 'm Up,,,,,,,,,x,,
Genesis,NBA Jam,,Sports,,5:08:33,6,https://www.youtube.com/playlist?list=PLlNqyLg7AQBD1oxbLCOXDqYsQliGeiqqk,,,,,x,x,
Genesis,NHLPA Hockey 93,,Sports,,,,,,,,,x,,
Genesis,Outrun,,Racing,,,,,,,,,x,,
Genesis,Sonic and Knuckles,,Platformer,,,,,,,,,x,,
Genesis,Sonic The Hedgehog,,Platformer,,,,,,,,,x,,
Genesis,Sonic The Hedgehog 2,,Platformer,,,,,,,,,x,,
Genesis,Sonic The Hedgehog Spinball,,Pinball,,,,,,,,,x,,
Genesis,Streets of Rage,Mega Games 6,Beat 'm Up,,,,,,,,,x,,
Genesis,Strider,,Platformer,,2:39:41,4,https://youtu.be/3ZzMSPYche0,,,,,x,x,
Genesis,Super Hang-On,Mega Games 6,Racing,,,,,,Double,,,,,
Genesis,Super Hang-On,,Racing,,,,,,,,,x,,
Genesis,Tale Spin,,Platformer,,,,,,,,,x,,
Genesis,The Legend of Galahad,,Platformer,,,,,,,,,x,,
Genesis,The Revenge of Shinobi,Mega Games 6,Platformer,,,,,,,,,x,,
Genesis,World Cup Italia '90,Mega Games 6,Sports,,,,,,,,,x,,
GG,Ariel The Little Mermaid,,Platformer,,0:36:06,2,https://youtu.be/Vw4qnVHKZUw,,,,,x,x,
GG,Astérix and the Secret Mission,,Platformer,,,,,,,,,x,,
GG,Castle of Illusion Starring Mickey Mouse,,Platformer,,1:01:10,7,https://youtu.be/YbxQMfNgP78,,,,,x,x,
GG,Columns,,Puzzle,,,,,,,,,x,,
GG,Deep Duck Trouble Starring Donald Duck,,Platformer,,,,,,,,,x,,
GG,Disney's Aladdin,,Platformer,,,,,,,,,x,,
GG,Fantasy Zone,,Shmup,,,,,,,,,x,,
GG,Halley Wars,,Shmup,,,,,,,,,x,,
GG,Ninja Gaiden,,Platformer,,,,,,,,,x,,
GG,Paperboy,,Arcade,,1:09:40,6,https://youtu.be/WOAtELM-bfw,,,,,x,x,
GG,Psychic World,,Platformer,,,,,,,,,x,,
GG,Sonic Chaos,,Platformer,,,,,,,,,x,,
GG,Super Kick Off,,Sports,,,,,,,,,x,,
GG,Super Monaco GP,,Racing,,,,,,,,,x,,
GG,The Jungle Book,,Platformer,,,,,,,,,x,,
GG,The Lion King,,Platformer,,,,,,,,,x,,
GG,Tom and Jerry: The Movie,,Platformer,,,,,,,,,x,,
GG,Wonder Boy,,Platformer,,,,,,,,,x,,
GG,Woody Pop,,Breakout,,,,,,,,,x,,
Jaguar,Cybermorph,,Adventure/Shooter,,,,,,,,,x,,
Jaguar,NBA Jam T.E.,,Sports,,7:06:29,5,https://www.youtube.com/playlist?list=PLlNqyLg7AQBAsm2SvtI9pLLECe236yl5f,,,,,x,x,
Jaguar,Tempest 2000,,Arcade,,,,,,,,,x,,
Lynx,A.P.B.,,Racing,,,,,,,,,x,,
Lynx,Batman Returns,,Platformer,,,,,,,,,x,,
Lynx,California Games,,Sports,,,,,,,,,x,,
Lynx,Crystal Mines II,,Puzzle/Adventure,,,,,,,,,x,,
Lynx,Electrocop,,Adventure/Shooter,,,,,,,,,x,,
Lynx,Gates of Zendocon,,Shmup,,,,,,,,,x,,
Lynx,Ms. Pac-Man,,Arcade,,,,,,,,,x,,
Lynx,Pac-Land,,Platformer,,,,,,,,,x,,
Lynx,Rampage,,Beat 'm Up,,1:59:25,5,https://youtu.be/3gUh3X5Z1GE,,,,,x,x,
Lynx,Rygar,,Beat 'm Up,,,,,,,,,x,,
Lynx,Scrapyard Dog,,Platformer,,,,,,,,,x,,
Lynx,Xenophobe,,Adventure,,,,,,,,,x,,
Lynx,Xybots,,Adventure,,,,,,,,,x,,
Lynx,Zarlor Mercenary,,Shmup,,,,,,,,,x,,
MSX,Crazy Golf,,Sports,,,,,,,,,x,,
MSX,Hyper Olympic 2,,Sports,,,,,,,,,x,,
MSX,Picture Puzzle,,Puzzle,,0:00:01,4,https://youtu.be/ln4O68cKZnI,x,,,,x,x,
N64,Aero Gauge,,Racing,,,,,,,,,x,,
N64,Automobili Lamborghini,,Racing,,,,,,,,,x,,
N64,Banjo Kazooie,,Platformer,,,,,,,,,x,,
N64,Beetle Adventure Racing,,Racing,,,,,,,,,x,,
N64,Blast Corps,,Misc.,,,,,,,,,x,,
N64,Bomberman 64,,Action,,,,,,,,,x,,
N64,Chopper Attack,,Shmup,,,,,,,,,x,,
N64,Cruis'n World,,Racing,,,,,,,,,x,,
N64,Dark Rift,,Fighting,,,,,,,,,x,,
N64,Destruction Derby 64,,Racing,,3:37:47,7,https://youtu.be/6rygEWy9Sic,,,,,x,x,
N64,Diddy Kong Racing,,Racing,,,,,,,,,x,,
N64,Donkey Kong 64,,Platformer,,,,,,,,,x,,
N64,Doom 64,,FPS,,,,,,,,,x,,
