 ,Console,Game,Collection,Genre,,Time,Score,Video,,
,,,,,,,,,,
,Upcoming,,,,,,,,,
,,,,,,,,,,
376,NDS,Professor Layton and the Lost Future,,Puzzle,,,,,,
,GBA,Shrek 2,Shrek 2 / Madagascar Operation Penguin,Puzzle/Platformer,,,,,,
,XBONE,Underwurlde,Rare Replay,Platformer,,,,,,
,XBONE,Knight Lore,Rare Replay,Adventure,,,,,,
380,Switch,Yu-Gi-Oh! Legacy of the Duelist -Link Evolution-,,Cardgame,,,,,,
,GBC,Rhino Rumble,,Platformer,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Recent,,,,,,,,,
,,,,,,,,,,
375,Wii,The Legend of Zelda: Twilight Princess,,Adventure,,28:41:48,9,,,14/06/2022
374,XBOX,Silent Hill 4: The Room,,Survival Horror,,15:17:52,5,https://www.youtube.com/playlist?list=PLlNqyLg7AQBDCd8WEfc6esvt5v-n6tPAU,,02/06/2022
373,GB,Ganbare Goemon: Sarawareta Ebisumaru!,,Adventure,,6:40:29,7,https://www.youtube.com/playlist?list=PLlNqyLg7AQBDwEhaVbDjOpDfMzDpk6ujH,,20/05/2022
372,PS3,Catherine,,Puzzle,,12:49:59,6,https://www.youtube.com/playlist?list=PLlNqyLg7AQBB64oHFhVXCl0SHhFqCWfRk,,17/05/2022
371,PS2,Max Payne 2: The Fall of Max Payne,,Shooter,,8:19:20,7,https://www.youtube.com/playlist?list=PLlNqyLg7AQBAPj4w4_l-X1xKVNnN7vwGl,,27/04/2022
370,Wii,Mercury Meltdown Revolution,,Arcade,,15:40:05,8,https://www.youtube.com/playlist?list=PLlNqyLg7AQBDRf28MaSt1eb6PeGm5S0v-,,25/04/2022
369,C64,Cabal,(in R-Type box),Shooter,,1:19:37,9,https://youtu.be/b8zjaXYEgmY,,12/04/2022
368,GB,Kirby's Dream Land 2,,Platformer,,3:22:27,6,https://youtu.be/Gah86DqQ3js,,11/04/2022
367,PS3,American McGee's Alice,,Platformer,,10:10:09,6,https://www.youtube.com/playlist?list=PLlNqyLg7AQBDK1WZqOByFK6KohdltoXaG,,11/04/2022
366,PSP,Sonic Rivals 2,,Racing,,2:55:25,4,https://youtu.be/rcu2RU5RMLs,,05/04/2022
365,NES,Batman,,Platformer,,1:43:48,9,https://youtu.be/IQy3zRscA38,,04/04/2022
364,PC,Ostrich Runner,,Racing,,1:42:35,4,https://youtu.be/_4mA9JUq5mg,,16/03/2022
363,N64,Pokémon Stadium 2,,Action,,42:41:41,7,https://www.youtube.com/playlist?list=PLlNqyLg7AQBCbOohnsmbg-bK07U6Ls-_u,,16/03/2022
362,XBOX,Project Gotham Racing 2,,Racing,,23:51:53,7,https://www.youtube.com/playlist?list=PLlNqyLg7AQBAXkb1-eATrXzODVCAcjcQ2,,02/03/2022
361,GCN,Sega Soccer Slam,,Sports,,3:47:04,7,https://youtu.be/pzRX30BR-dE,,23/02/2022
360,Wii,Shaun White Snowboarding: Road Trip,,Sports,,2:28:01,7,https://youtu.be/FLCdzDoh6Yg,,22/02/2022
359,Wii,Trauma Center: New Blood,,Puzzle/Action,,12:35:01,8,https://www.youtube.com/playlist?list=PLlNqyLg7AQBC6dz4nHcF4ErPdyf7-1AZs,,21/02/2022
358,GG,Castle of Illusion Starring Mickey Mouse,,Platformer,,1:01:10,7,https://youtu.be/YbxQMfNgP78,,11/02/2022
357,SMS,Battle Out Run,,Racing,,4:18:09,4,https://youtu.be/2CTDoixQoJ8,,09/02/2022
356,GB,Purikura Pocket: Fukanzen Joshikousei Manual,,Adventure/Sim.,,4:06:44,4,https://youtu.be/E5xQ3_pRNeQ,,08/02/2022
355,C64,The Last Ninja,,Action,,4:51:27,8,https://youtu.be/65eh4Fkr23U,,07/02/2022
354,GBA,Yoshi's Universal Gravitation,,Platformer,,3:31:51,4,https://youtu.be/VZ6c4dKowaM,,04/02/2022
353,SNES,The King of Rally,,Racing,,2:20:00,6,https://youtu.be/YCsrmVJyGdg,,03/02/2022
352,PS1,Tunnel B1,,FPS,,10:27:51,4,https://www.youtube.com/playlist?list=PLlNqyLg7AQBDC99DAVARGw6JvyxQlXQqZ,,03/02/2022
351,GCN,Donkey Konga,,Rythm,,8:04:26,7,https://www.youtube.com/playlist?list=PLlNqyLg7AQBBUUWceuuKnh7odyNiQoAqr,,27/01/2022
350,PS4,DIRT 5,,Racing,,16:13:13,5,https://www.youtube.com/playlist?list=PLlNqyLg7AQBBeg5-Zwx4XOnyulqYEKQIt,,24/01/2022
349,GCN,Die Hard Vendetta,,FPS,,11:10:37,3,https://www.youtube.com/playlist?list=PLlNqyLg7AQBCsyDMEchguD42R6gCb4fNi,,18/01/2022
348,NDS,Mega Man ZX,,Platformer,,9:36:11,6,https://www.youtube.com/playlist?list=PLlNqyLg7AQBBxfi5A-pHLkVpcbh1syk9D,,13/01/2022
347,NDS,Picross 3D,,Puzzle,,38:14:05,8,https://www.youtube.com/playlist?list=PLlNqyLg7AQBBukPbtY6R-MMWlp9fOm8pR,,10/01/2022
346,GB,Revenge of the Gator,,Pinball,,0:28:08,7,https://youtu.be/7Xv9H5Guw8k,,22/12/2021
345,PS3,Tokyo Jungle,,Action/Adventure,,12:00:08,7,https://www.youtube.com/playlist?list=PLlNqyLg7AQBBlAOYvmsb1ehn_t2LRPhws,,20/12/2021
344,Saturn,WanChai Connection,,Detective/Adventure,,15:37:39,3,https://www.youtube.com/playlist?list=PLlNqyLg7AQBBCSG70mOpzYmWtGqByTDHV,,14/12/2021
343,PS2,Ridge Racer V,,Racing,,2:20:00,9,https://youtu.be/Fe5K7WYxk00,,09/12/2021
342,GG,Paperboy,,Arcade,,1:09:40,6,https://youtu.be/WOAtELM-bfw,,09/12/2021
341,Switch,Metroid Dread,,Metroidvania,,11:25:55,8,https://www.youtube.com/playlist?list=PLlNqyLg7AQBDQMh-BuIfE5fvsKfuIpn_M,,08/12/2021
340,Amiga,Golden Axe,,Beat 'm Up,,1:30:55,5,https://youtu.be/4b4D6poYOCc,,06/12/2021
339,GBA,Dogz,,Virtual Pet,,4:57:02,5,https://youtu.be/_8FOyoocy7o,,06/12/2021
338,DreamCast,Sega Rally 2 Championship,,Racing,,11:16:01,8,https://www.youtube.com/playlist?list=PLlNqyLg7AQBDBOY_h4gbQxU27p20adLJD,,02/12/2021
337,XBONE,Forza Horizon 5,,Racing,,44:10:40,7,https://www.youtube.com/playlist?list=PLlNqyLg7AQBBok0lsjfTgNAZ8GdBrgIx4,,01/12/2021
336,N64,Mario Kart 64,,Racing,,2:13:53,9,https://youtu.be/5eMQ2_P0EoI,,03/11/2021
335,GBA,Crash Bandicoot XS,,Platformer,,5:52:00,8,https://youtu.be/0v2Rp61v_wE,,02/11/2021
334,XBOX,The Lord of the Rings: The Two Towers,,Action/Adventure,,4:35:53,6,https://youtu.be/6TwQrnDEzRg,,28/10/2021
333,PS2,Paard & Pony: Topruiter (Riding Star),,Sports,,9:38:35,5,https://www.youtube.com/playlist?list=PLlNqyLg7AQBCm-NoEYcGsxKxNHH7PKmb7,,27/10/2021
332,PS1,TOCA 2 Touring Cars,,Racing,,10:01:30,4,https://www.youtube.com/playlist?list=PLlNqyLg7AQBAxkFBBzD6YXP1rJLBFTOMD,,25/10/2021
331,N64,International Superstar Soccer 64,,Sports,,4:54:05,8,https://youtu.be/-D6RdlmxJ6I,,21/10/2021
330,Switch,Cruis'n Blast,,Racing,,5:20:36,8,https://www.youtube.com/playlist?list=PLlNqyLg7AQBBdps7dk6_wpHfwOz2vYK-R,,19/10/2021
329,GCN,Beyond Good & Evil,,Action Adventure,,11:15:08,8,https://www.youtube.com/playlist?list=PLlNqyLg7AQBCTb6czBcEc8XeGA2mvjANF,,18/10/2021
328,PS3,Duke Nukem Forever,,FPS,,9:48:39,4,"https://www.twitch.tv/videos/1179206439
https://www.twitch.tv/videos/1184582954
https://www.twitch.tv/videos/1185547240",,11/10/2021
327,GBC,Toonsylvania,,Platformer,,2:21:14,4,https://youtu.be/7gyqdkIOWmk,,04/10/2021
326,Amiga,Total Recall,,Platformer,,5:28:49,7,https://www.youtube.com/playlist?list=PLlNqyLg7AQBBup0s1mWBAOC-oIrgyx2DJ,,01/10/2021
325,Amiga,Pinball Mania,,Pinball,,0:48:59,7,https://youtu.be/XmVAYdoXTd8,,29/09/2021
324,GBC,Tech Deck Skateboarding,,Sports,,1:59:17,4,https://youtu.be/4185M8W5TDU,,28/09/2021
323,PS3,Dante's Inferno,,Action/Adventure,,11:54:59,5,"https://www.twitch.tv/videos/1141512628
https://www.twitch.tv/videos/1174728716
https://www.twitch.tv/videos/1170067196
https://www.twitch.tv/videos/1165440039",,27/09/2021
322,C64,Monty on the Run,,Platformer,,5:41:37,7,https://www.youtube.com/playlist?list=PLlNqyLg7AQBAEtqtMYBXky4T4V74qvblG,,06/09/2021
321,PS1,Tekken 3: Collector's Edition Demo Disc,,Fighting,,0:11:16,4,https://youtu.be/fBmUxPRDx2w,,01/09/2021
320,XBONE,Back To The Future: The Game,,Adventure,,13:38:36,6,https://www.youtube.com/playlist?list=PLlNqyLg7AQBBpnsOZZtpHOJKX2qzr40Pp,,01/09/2021
319,CDi,Lemmings,,Puzzle,,36:15:08,5,https://www.youtube.com/playlist?list=PLlNqyLg7AQBC0_upnLmiwfhasBWWH6slh,,30/08/2021
318,Wii,Metroid Prime 3: Corruption,,Adventure/FPS,,16:50:01,8,https://www.youtube.com/playlist?list=PLlNqyLg7AQBDg8EMuJ5f1lqUQQqyxN4D3,,12/08/2021
317,PC,Race With Ryan,,Racing,,1:28:18,5,https://youtu.be/JHXw9LT1HuE,,09/08/2021
316,PC,Calvin Tucker's Farm Animal Racing,,Racing,,1:26:17,3,https://youtu.be/vIvaCuVbT5E,,09/08/2021
315,PS3,Shadow of the Colossus,Ico & Shadow of the Colossus HD Collection,Action Adventure,,8:24:50,8,https://www.youtube.com/playlist?list=PLlNqyLg7AQBBmQvmcwZo1oNm7KYUQezy3,,28/07/2021
314,PS1,Heart of Darkness,,Action/Adventure,,5:38:59,7,https://youtu.be/9IUGCAvoxkE,,26/07/2021
313,PS4,Wreckfest,,Racing,,19:31:23,7,https://www.youtube.com/playlist?list=PLlNqyLg7AQBC_RqaAt8peXT6m4bgJPrpn,,21/07/2021
312,XBOX,Sonic Heroes,,Platformer,,19:25:30,2,https://www.youtube.com/playlist?list=PLlNqyLg7AQBDP_ZEXwclkOOPEGyJKssSQ,,13/07/2021
311,SMS,Thunder Blade,,Shmup,,6:28:50,3,https://www.youtube.com/playlist?list=PLlNqyLg7AQBBNC75xwuH21K50quNvPvhV,,05/07/2021
310,PSP,Daxter,,Platformer,,9:02:39,7,https://www.youtube.com/playlist?list=PLlNqyLg7AQBDeV5uRU9vghUKJ2FxQ23Sf,,30/06/2021
309,PC,Teddy Floppy Ear - The Race,,Racing,,3:35:25,4,https://youtu.be/el2sitz_-L0,,29/06/2021
308,PS4,Just Cause 3,,Open World Action,,47:06:25,5,https://www.youtube.com/playlist?list=PLlNqyLg7AQBDyXgQ0bZBkNBVaGPpaPDvB,,25/06/2021
307,Switch,Pokémon Let's Go Eevee!,,RPG,,20:14:35,9,https://www.youtube.com/playlist?list=PLlNqyLg7AQBCjGDkQKrIwd4KmqrovCEMh,,22/06/2021
306,PS1,World's Scariest Police Chases,,Racing,,3:35:12,7,https://youtu.be/ZFrWj370F8w,,27/05/2021
305,GBC,Wacky Races,,Racing,,2:35:08,5,https://youtu.be/6Bnk9SGrXnI,,26/05/2021
304,GBA,Rayman Advance,Rayman 10th Anniversary,Platformer,,15:26:24,6,https://www.youtube.com/playlist?list=PLlNqyLg7AQBC1wbod1goABaSj3wdOi8sp,,26/05/2021
303,GB,Daffy Duck: The Marvin Missions,,Platformer,,2:45:03,2,https://youtu.be/SGbiVVmXXIw,,18/05/2021
302,GB,Mortal Kombat,,Fighting,,0:40:51,1,https://youtu.be/Pab4lOxnr_k,,17/05/2021
301,NES,DuckTales,,Platformer,,0:36:11,9,https://youtu.be/STP5G04mAIA,,17/05/2021
300,Amiga CD32,Beavers,,Platformer,,2:23:46,5,https://youtu.be/irathOfsA3U,,17/05/2021
299,GBA,Pokémon LeafGreen,,RPG,,11:28:32,8,https://www.youtube.com/playlist?list=PLlNqyLg7AQBCG7JsPWN4-2lRXY-oXlbR5,,12/05/2021
298,NES,Kabuki Quantum Fighter,,Platformer,,0:51:50,8,https://youtu.be/n0qHa9ggjTs,,10/05/2021
297,CDi,Scotland Yard,,Boardgames,,1:30:10,7,https://youtu.be/AwaLIU3XM8Q,,10/05/2021
296,PS2,Dragon Quest: The Journey of the Cursed King,,RPG,,62:10:52,6,https://www.youtube.com/playlist?list=PLlNqyLg7AQBAUdkafMlDFXwk1lVbnv-j_,,10/05/2021
295,PC,Nickelodeon Kart Racers 2: Grand Prix,,Racing,,9:39:19,5,https://www.youtube.com/playlist?list=PLlNqyLg7AQBAqClUge90MYvhOe4OvM8mj,,05/05/2021
294,C64,Number Nabber Shape Grabber,,Puzzle,,0:21:30,3,https://youtu.be/9tUG0zYJ63o,,20/04/2021
293,PS1,1943,Capcom Generations,Shmup,,1:06:39,4,https://youtu.be/4s-6tt7dWis,,20/04/2021
292,PS1,Syphon Filter 3,,Shooter,,8:51:03,7,https://www.youtube.com/playlist?list=PLlNqyLg7AQBBumrg3f-wDg0fVsEVIL6To,,19/04/2021
291,Wii U,Super Mario 3D World,,Platformer,,7:30:01,9,https://www.youtube.com/playlist?list=PLlNqyLg7AQBB_VxtTw6FDar8u6jgzDj9P,,16/04/2021
290,DreamCast,Legacy of Kain: Soul Reaver,,Action/Adventure,,14:54:40,6,https://www.youtube.com/playlist?list=PLlNqyLg7AQBDsw6nBqaimrZEhW-ee-Ib-,,13/04/2021
289,GCN,Eternal Darkness,,Survival Horror,,15:04:09,8,https://www.youtube.com/playlist?list=PLlNqyLg7AQBCpDpsEXLOsCD1Z-mIU3MiE,,07/04/2021
288,SNES Mini,Super Mario World,,Platformer,,3:00:00,8,https://youtu.be/mJ0_FXz3_yY,,31/03/2021
287,N64,Destruction Derby 64,,Racing,,3:37:47,7,https://youtu.be/6rygEWy9Sic,,30/03/2021
286,SMS,The Ottifants,,Platformer,,1:33:26,8,https://youtu.be/KK-6xd6M1q4,,29/03/2021
285,PS1,Crash Bandicoot 3: Warped,,Platformer,,3:11:58,7,https://youtu.be/H12pxDZHdsQ,,29/03/2021
284,CDi,Christmas Crisis,,Platformer,,2:25:24,7,https://youtu.be/k_O6EgJVH0g,,25/03/2021
283,SMS,Indiana Jones and the Last Crusade,,Platformer,,0:56:26,5,https://youtu.be/ZT0K_Bfu8y4,,25/03/2021
282,PS1,Pirate Ship Higemaru,Capcom Generations,Arcade,,4:08:48,4,https://youtu.be/04SYw3_KNlM,,23/03/2021
281,Saturn,Sega Sports: DecAthlete,,Sports,,0:48:19,8,https://youtu.be/KWOio4yVqOQ,,23/03/2021
280,GBC,The Jungle Book: Mowgli's Wild Adventure,,Platformer,,2:49:57,7,https://youtu.be/nPJXuSRZcXg,,22/03/2021
279,Saturn,SEGA Rally Championship,,Racing,,0:40:50,10,https://youtu.be/y6uk4EJSeDU,,22/03/2021
278,XBOX,Midtown Madness 3,,Racing,,8:03:58,9,https://www.youtube.com/playlist?list=PLlNqyLg7AQBBzpVnTgL3WE5LEiLdby4QB,,17/03/2021
277,Genesis,NBA Jam,,Sports,,5:08:33,6,https://www.youtube.com/playlist?list=PLlNqyLg7AQBD1oxbLCOXDqYsQliGeiqqk,,16/03/2021
276,Amiga CD32,Alfred Chicken,,Platformer,,5:29:23,7,https://www.youtube.com/playlist?list=PLlNqyLg7AQBBZ1Dl0ALKVrvxpgr08TwpV,,15/03/2021
275,N64,Mystical Ninja 2 Starring Goemon,,Platformer,,11:26:27,5,https://www.youtube.com/playlist?list=PLlNqyLg7AQBDIa-h3rdr3B50dsIRrufZk,,08/03/2021
274,PS1,Sheep,,Puzzle,,4:40:31,7,https://youtu.be/GzTYZpPEgl0,,02/03/2021
273,SMS,Safari Hunt,,Shooter,,1:12:17,5,https://youtu.be/K4doTCx7Pug,,01/03/2021
272,DreamCast,ChuChu Rocket,,Arcade,,8:20:22,7,https://www.youtube.com/playlist?list=PLlNqyLg7AQBDrwipqj1MguVKKkwoHRFt6,,01/03/2021
271,PS2,Bonanza Bros,SEGA Classics Collection,Stealth / Platformer,,0:44:56,5,https://youtu.be/vNEVpwkl_Wk,,24/02/2021
270,PS2,Tant-R ,SEGA Classics Collection,Party,,1:10:22,8,https://youtu.be/olhbzZMrne8,,24/02/2021
269,PS2,Need for Speed: Pro Street,,Racing,,19:32:40,3,https://www.youtube.com/playlist?list=PLlNqyLg7AQBDZNS7vTA-Ok-_bwSLi4zoa,,24/02/2021
268,NES,Super Off Road,,Racing,,2:07:35,6,https://youtu.be/2CieHYG3d24,,15/02/2021
267,GB,Jelly Boy,,Platformer,,5:27:33,5,https://www.youtube.com/playlist?list=PLlNqyLg7AQBA3P8YeMP0fvHtEnusrE7Lv,,10/02/2021
266,GB,David Crane's The Rescue of Princess Blobette,,Puzzle/Adventure,,1:57:56,3,https://youtu.be/V0qYKFBfpw4,,09/02/2021
265,XBONE,Solar Jetman,Rare Replay,Action/Adventure,,7:54:21,7,https://www.youtube.com/playlist?list=PLlNqyLg7AQBBksiBQnsU_Z1083v7Nz_DH,,08/02/2021
264,PS1,Die Hard Trilogy,,Action/Shooter,,11:36:12,9,https://www.youtube.com/playlist?list=PLlNqyLg7AQBBbfxXuSSl43q3dbUbpJi6h,,01/02/2021
263,PS2,Jak 3,,Open World / Action,,13:56:50,7,https://www.youtube.com/playlist?list=PLlNqyLg7AQBAKJ96Dg7VuN-8cadVU_o4U,,26/01/2021
262,DreamCast,Marvel Vs. Capcom 2,,Fighting,,1:01:00,7,https://youtu.be/OoWlVh8curo,,20/01/2021
261,PC,Baba Is You,,Puzzle,,31:40:13,7,https://www.youtube.com/playlist?list=PLlNqyLg7AQBAz67lpUyiw2PX0nUxV_nPN,,20/01/2021
260,PS2,Grand Theft Auto: Liberty City Stories,,Open World,,15:07:56,7,https://www.youtube.com/playlist?list=PLlNqyLg7AQBDixolgGt1JBhZdGlVoUY7X,,14/01/2021
259,GG,Ariel The Little Mermaid,,Platformer,,0:36:06,2,https://youtu.be/Vw4qnVHKZUw,,08/01/2021
258,XB360,AMY,,Survival Horror,,6:08:14,4,https://www.youtube.com/playlist?list=PLlNqyLg7AQBBqe_dpF6HEVUfRoJCnwBcE,,08/01/2021
257,PS1,X-Men: Mutant Academy 2,,Fighting,,0:53:10,8,https://youtu.be/NsRmH2JP4Cg,,06/01/2021
256,N64,San Francisco RUSH Extreme Racing,,Racing,,5:19:08,9,https://www.youtube.com/playlist?list=PLlNqyLg7AQBAIBEqvMSCJgvoAxqMB6HBK,,06/01/2021
255,XBONE,Ori and the Will of the Wisps,,Platformer,,17:05:36,8,https://www.youtube.com/playlist?list=PLlNqyLg7AQBBICeezVM3AWduNCwEVNypO,,05/01/2021
254,PS4,GRID,,Racing,,29:50:33,5,https://www.youtube.com/playlist?list=PLlNqyLg7AQBBnUOpmPt4wEviKvttuMWja,,17/12/2020
253,XBONE,Megaman 11,,Platformer,,7:09:24,6,https://www.youtube.com/playlist?list=PLlNqyLg7AQBDFwyXOkSY9JwKxTKc7BQrd,,02/12/2020
252,XB360,Assassin's Creed,,Action Adventure,,28:43:59,3,https://www.youtube.com/playlist?list=PLlNqyLg7AQBD7BDPm5RpBhCgffRdJ_UyN,,30/11/2020
251,XBONE,Inside,,Puzzle Platformer,,3:27:02,9,https://youtu.be/FWM611pnYE8,,16/11/2020
250,PS4,Inertial Drift,,Racing,,19:12:30,7,https://www.youtube.com/playlist?list=PLlNqyLg7AQBBqe9G44Y6tC_EWwik-A0CJ,,12/11/2020
249,XB360,The Secret of Monkey Island: Special Edition,,Adventure,,9:57:06,7,https://www.youtube.com/playlist?list=PLlNqyLg7AQBCyJUxxoZM3aWN1hJ02jG_n,,27/10/2020
248,XBONE,Gone Home: Console Editon,,Adventure,,2:58:20,2,https://youtu.be/pOXCEj6ipbs,,16/10/2020
247,XBONE,Slayaway Camp: Butcher's Cut,,Puzzle,,8:46:21,7,https://www.youtube.com/playlist?list=PLlNqyLg7AQBCXTywPcqdX82YXkY5EUy75,,14/10/2020
246,XBONE,Assassin's Creed Chronicles: China,,Action Adventure,,9:54:50,5,https://www.youtube.com/playlist?list=PLlNqyLg7AQBAg9ryOvwS5vnQflJJKBczY,,09/10/2020
245,PS4,Q.U.B.E.: Director's Cut,,Puzzle,,4:06:49,7,https://www.youtube.com/playlist?list=PLlNqyLg7AQBAI4q6GJCtVmDNmQEH1bIro,,07/10/2020
244,PS4,Bloodstained: Ritual of the Night,,Action RPG,,19:30:01,8,https://www.youtube.com/playlist?list=PLlNqyLg7AQBAqdT-w74_Ukf_RD2LaYwSc,,02/10/2020
