 ,Console,Game,Collection,Genre,,Time,Score,Video,,
243,XB360,Burnout Paradise,,Racing,,8:57:50,6,https://www.youtube.com/playlist?list=PLlNqyLg7AQBCbSCisoEZ25V82nFEXWTFl,,15/09/2020
242,PC,Boss Rally,,Racing,,3:19:22,6,https://youtu.be/zLyOrY6-Gfc,,12/09/2020
241,XB360,Costume Quest,,RPG,,5:00:59,6,https://www.youtube.com/playlist?list=PLlNqyLg7AQBCMvlgfXWVinDfkWKFJPkLl,,04/09/2020
240,XBONE,Grow Up,,Action Adventure,,7:45:55,7,https://www.youtube.com/playlist?list=PLlNqyLg7AQBCY0-ndTY0pYYi3GyAN6EeK,,03/09/2020
239,XBONE,Adventure Time: Pirates of the Enchiridion,,RPG,,9:33:41,2,https://www.youtube.com/playlist?list=PLlNqyLg7AQBA-630Fdcw2WYz3fPGOyNku,,01/09/2020
238,XB360,Torchlight,,Action RPG,,9:40:57,5,https://www.youtube.com/playlist?list=PLlNqyLg7AQBDPFCPMoYsuJ5bLk7oViCyo,,27/08/2020
237,XB360,Cars 2,,Racing,,5:03:57,3,https://youtu.be/DHwt9n2LFhA,,18/08/2020
236,XB360,Brave: The Video Game,,Action Adventure,,4:50:39,7,https://www.youtube.com/playlist?list=PLlNqyLg7AQBBwXfIJdsJDklGrIAUxWQjk,,05/08/2020
235,XB360,JuJu,,Platformer,,5:24:45,6,https://www.youtube.com/playlist?list=PLlNqyLg7AQBBfp4pGk0SGQ7j0gl_NIQKs,,31/07/2020
234,Wii,Mario Kart Wii,,Racing,,8:01:37,8,https://www.youtube.com/playlist?list=PLlNqyLg7AQBCxYisNBNpADoz7hmXHOSqH,,15/05/2020
233,Wii,Super Smash Brothers: Brawl,,Fighting,,10:13:57,8,https://www.youtube.com/playlist?list=PLlNqyLg7AQBBjU7yg9NmYNN3kKYkCE31m,,13/05/2020
232,PS1,ISS Pro Evolution,,Sports,,29:49:11,4,https://www.youtube.com/playlist?list=PLlNqyLg7AQBAu_v0L2E7BiI4VVMxM7IrT,,07/05/2020
231,PS2,Rayman Raving Rabbids,,Party,,4:47:50,5,https://www.youtube.com/playlist?list=PLlNqyLg7AQBBOA5KpOLC2GAzhp9zHayRK,,29/04/2020
230,GB,The Lion King,,Platformer,,0:57:16,3,https://youtu.be/C8FjBkMEfiQ,,28/04/2020
229,SNES Mini,Contra III: The Alien Wars,,Shooter/Platfomer,,3:33:24,7,https://youtu.be/OGnIkrSFfeo,,28/04/2020
228,PS2,Zone Of The Enders,,Mech Sim.,,4:24:57,5,https://youtu.be/RlDeJKv53BU,,24/04/2020
227,WiiWare,Mega Man 9,,Platformer,,2:48:11,8,https://youtu.be/eeuWSSMEvo0,,23/04/2020
226,PC,Pokémon Uranium,,RPG,,22:44:32,7,https://www.youtube.com/playlist?list=PLlNqyLg7AQBBqtZyqx1uDxI6gHCRph5xQ,,22/04/2020
225,XB360,Comic Jumper,,Shmup,,5:13:13,3,https://www.youtube.com/playlist?list=PLlNqyLg7AQBCRvuyv5pO-IwZDMsTDYOiz,,09/04/2020
224,XBONE,Tembo The Badass Elephant,,Platformer,,4:19:30,6,https://www.youtube.com/playlist?list=PLlNqyLg7AQBAkd7nCKQEI2IFHFd6QYoWe,,08/04/2020
223,XBONE,Shantae: Half-Genie Hero,,Platformer,,8:05:59,7,https://www.youtube.com/playlist?list=PLlNqyLg7AQBBsy-12lSxmQt6a6huCKlRt,,03/04/2020
222,XB360,Sonic & All-Stars Racing Transformed,,Racing,,14:58:28,8,https://www.youtube.com/playlist?list=PLlNqyLg7AQBChKRJwo2klWV4BeMBenOBV,,25/03/2020
221,XB360,Castlevania: Lords of Shadow - Mirror of Fate HD,,Adventure/Platformer,,9:47:16,6,https://www.youtube.com/playlist?list=PLlNqyLg7AQBA9gg6QHJQmK2wgdQf-gkDq,,19/03/2020
220,PS1,DOOM,,FPS,,13:52:24,6,https://www.youtube.com/playlist?list=PLlNqyLg7AQBBmgopnIH4_ZEE_dUwOe_C2,,16/03/2020
219,Switch,Pokémon Mystery Dungeon: Rescue Team DX,,Roguelike,,14:23:06,8,https://www.youtube.com/playlist?list=PLlNqyLg7AQBCR_GmwbtPXmDX_iD-Sy32v,,11/03/2020
218,PS4,SOMA,,Survival Horror,,9:09:06,7,https://www.youtube.com/playlist?list=PLlNqyLg7AQBDfNqFPkC7HJDFw3cEP6Ps9,,05/03/2020
217,PS4,forma.8,,Adventure/Exploration,,6:43:45,5,https://www.youtube.com/playlist?list=PLlNqyLg7AQBA91EFxlnwZfxmPs8ktbWh8,,03/03/2020
216,PS4,Hue,,Puzzle Platformer,,3:52:45,7,https://youtu.be/2QjFbUKgEc4,,28/02/2020
215,PS4,Bombing Busters,,Arcade,,10:46:55,3,https://www.youtube.com/playlist?list=PLlNqyLg7AQBBf19SpnUvHqAQCbsNHx3A8,,28/02/2020
214,PS4,Assassin's Creed: Freedom Cry,,Action/Adventure,,6:50:00,5,https://www.youtube.com/playlist?list=PLlNqyLg7AQBDHSaN4LCClS62imruftqqB,,24/02/2020
213,Wii,Urban Extreme - Street Rage,,Racing,,7:15:05,1,https://www.youtube.com/playlist?list=PLlNqyLg7AQBBkR_P6emDH8IXS88H9MBTx,,13/02/2020
212,Atari 2600,Realsports Tennis,,Sports,,1:22:39,7,https://youtu.be/VVzIstWtgZw,,11/02/2020
211,XB360,Gears of War 2,,FPS,,8:18:58,7,https://www.youtube.com/playlist?list=PLlNqyLg7AQBBABKmEBUKUfp2juML-I9Hd,,10/02/2020
210,GBC,Pokémon Gold,,RPG,,13:34:38,9,https://www.youtube.com/playlist?list=PLlNqyLg7AQBAHcJn0GjkPZfdOXrLxqypP,,05/02/2020
209,XB360,Joy Ride Turbo,,Racing,,1:57:00,5,https://youtu.be/CVoIR5W6eBo,,31/01/2020
208,GBA,Rayman 3,Rayman 10th Anniversary,Platformer,,4:20:34,8,https://youtu.be/wxqPID1j3Mc,,22/12/2019
207,XB360,The Elder Scrolls V: Skyrim,,Open World RPG,,20:42:00,6,https://www.youtube.com/playlist?list=PLlNqyLg7AQBB6tho5hmlckym4Qkbf5lxG,,19/12/2019
206,NDS,Mario & Sonic at the Olympic Wintergames,,Sports,,10:52:23,7,https://www.youtube.com/playlist?list=PLlNqyLg7AQBB6CTiGOBRtMCC1CT_Oayza,,09/12/2019
205,NDS,Rhythm Paradise,,Rythm,,8:55:32,7,https://www.youtube.com/playlist?list=PLlNqyLg7AQBDWCB3IhPYCOECqeQBwn1D-,,02/12/2019
204,PS4,Death Stranding,,Adventure/Shooter,,35:17:18,10,https://www.youtube.com/playlist?list=PLlNqyLg7AQBCFKSuZYcxO_raefS1q8R18,,24/11/2019
203,Switch,Harvest Moon: Light of Hope Special Edition,,RPG,,31:29:21,3,https://www.youtube.com/playlist?list=PLlNqyLg7AQBB_tnTTyfKGXEuGbRhY8-Tj,,18/11/2019
202,CDi,Connect Four,,Boardgames,,0:10:29,5,https://youtu.be/IQF6MajTkH8,,07/11/2019
201,Genesis,Strider,,Platformer,,2:39:41,4,https://youtu.be/3ZzMSPYche0,,07/11/2019
200,PS3,Marvel Vs. Capcom 3: Fate of Two Worlds,,Fighting,,0:32:58,7,https://youtu.be/K6v_N8meUqI,,28/10/2019
199,GB,Spanky's Quest,,Arcade,,1:24:58,9,https://youtu.be/MBkZgz5f2dA,,08/10/2019
198,Switch,Golf Story,,RPG/Sports,,18:06:41,7,https://www.youtube.com/playlist?list=PLlNqyLg7AQBBM2cJawazyxFW3yFd4BtSy,,07/10/2019
197,XBONE,Jet Force Gemini,Rare Replay,Adventure/Shooter,,19:31:36,7,https://www.youtube.com/playlist?list=PLlNqyLg7AQBCXLZqgXqaRiDC1y5qMwDnz,,28/09/2019
196,PS4,BATMAN: The Telltale Series,,Interactive Story,,7:28:10,4,https://www.youtube.com/playlist?list=PLlNqyLg7AQBDDFFWlRjxine14sPtIzLK7,,27/09/2019
195,XBONE,Cobra Triangle,Rare Replay,Action/Racing,,0:55:15,5,https://youtu.be/1KMN1Z7lmm4,,16/09/2019
194,PS1,Space Duel,Atari Anniversary,Arcade,,1:05:00,6,https://youtu.be/2jIrOW4a5ZI,,15/09/2019
193,NDS,Jewel Master - Cradle of Rome,,Puzzle,,9:26:26,3,https://www.youtube.com/playlist?list=PLlNqyLg7AQBCTfRq-3oKiKMoaXWhVPOY4,,12/09/2019
192,XB360,Gears of War 3,,FPS,,8:59:43,7,https://www.youtube.com/playlist?list=PLlNqyLg7AQBDMeZg9klYVfX3VmShQlAzD,,10/09/2019
191,PC,Over 9000 Zombies,,Shooter,,0:50:00,5,https://youtu.be/QjkDyBfTUkg,,01/09/2019
190,GB,World Heroes 2 Jet,,Fighting,,0:55:11,5,https://youtu.be/DtGsAuH3wT0,,30/08/2019
189,Wii,Mushroom Men: The Spore Wars,,Platformer,,5:12:55,7,https://www.youtube.com/playlist?list=PLlNqyLg7AQBAldh6l5AxBz0XSK3zg8hAj,,29/08/2019
188,SNES Mini,Super Castlevania IV,,Platformer,,3:56:47,8,https://youtu.be/LpgTi26d9Hg,,27/08/2019
187,PS1,Tekken 3,,Fighting,,4:20:00,7,https://youtu.be/2Wc8C0qWi_Q,,26/08/2019
186,NDS,Spectrobes: Beyond the Portals,,RPG,,13:40:40,3,https://www.youtube.com/playlist?list=PLlNqyLg7AQBCIDzoz3uxRgzcnR6ajp2Ux,,24/08/2019
185,Switch,No More Heroes: Travis Strikes Back,,Action,,10:02:28,7,https://www.youtube.com/playlist?list=PLlNqyLg7AQBBwB2lbVsyWpsWF4V4UJry5,,21/08/2019
184,PC,Ion Fury,,FPS,,8:50:00,9,https://www.youtube.com/playlist?list=PLlNqyLg7AQBD93Sh7qVmE9hglxzA0FZ8x,,18/08/2019
183,PS3,Skylanders: Spyro's Adventure,,Action/Adventure,,7:33:40,6,https://www.youtube.com/playlist?list=PLlNqyLg7AQBBZg1UaWz15p35uH9fjzjhf,,09/08/2019
182,PS2,Ratchet Gladiator,,Platformer,,6:13:47,7,https://youtu.be/F-fixGVQSOw,,06/08/2019
181,Switch,Super Mario Odyssey,,Platformer,,12:28:48,9,https://www.youtube.com/playlist?list=PLlNqyLg7AQBCS-lyuUIcMQAcaBKfRfPfX,,05/08/2019
180,NDS,Super Scribblenauts,,Puzzle,,14:30:42,6,https://www.youtube.com/playlist?list=PLlNqyLg7AQBAJfyX4_oCbUP_nfOYeqvSa,,02/08/2019
179,Switch,Pode,,Puzzle,,5:43:42,7,https://www.youtube.com/playlist?list=PLlNqyLg7AQBAZtma2A-o6uEG2pM1kv-WN,,01/08/2019
178,Switch,Super Mario Maker 2,,Platformer,,5:16:13,8,https://www.youtube.com/playlist?list=PLlNqyLg7AQBBTxnU-v5Avir5hydO3_Ajk,,17/07/2019
177,N64,V-Rally: Edition 99,,Racing,,4:09:15,5,https://youtu.be/PIfkGNHgFhI,,10/07/2019
176,Wii,Need For Speed: Nitro,,Racing,,12:40:14,6,https://www.youtube.com/playlist?list=PLlNqyLg7AQBBLDXI_Kjc_8q9oHkENLhuA,,08/07/2019
175,SMS,James Bond 007: The Duel,,Platformer,,3:53:35,7,https://youtu.be/wUbW9UY3fi0,,04/07/2019
174,SNES,Chō Aniki Bakuretsu Rantō Hen,,Fighting,,1:09:19,4,https://youtu.be/zq1DRZzkrQw,,02/07/2019
173,N64,Forsaken 64,,FPS,,10:45:42,6,https://www.youtube.com/playlist?list=PLlNqyLg7AQBD8b87g37iU_x2iRXMGgQtk,,29/06/2019
172,PS4,Crash Team Racing: Nitro Fueled,,Racing,,9:44:30,9,https://www.youtube.com/playlist?list=PLlNqyLg7AQBCl7WMhhbWm9njJ_C_65Nb4,,22/06/2019
171,PS4,Sparkle 2,,Puzzle,,4:10:09,7,https://www.youtube.com/playlist?list=PLlNqyLg7AQBAgIrSztXbkjrk-r35_8V6Y,,14/06/2019
170,SNES,Pilotwings,,Flight Sim.,,6:40:09,6,https://www.youtube.com/playlist?list=PLlNqyLg7AQBAvJlUqeVQPsFyfTu14rxIB,,13/06/2019
169,PC,Die Hard: Nakatomi Plaza,,FPS,,5:56:00,5,https://youtu.be/seVEnX7Z-QM,,09/06/2019
168,PS4,The Bridge,,Puzzle,,5:00:00,5,https://youtu.be/3TekUXRUx-I,,08/06/2019
167,PS4,Until Dawn,,Interactive Story,,7:15:00,10,https://www.youtube.com/playlist?list=PLlNqyLg7AQBA4pvZA0kcQ1O01uvjxuxyf,,01/06/2019
166,PS4,Burly Men at Sea,,Interactive Story,,2:29:20,5,https://youtu.be/e3AFXLW0Quk,,28/05/2019
165,Jaguar,NBA Jam T.E.,,Sports,,7:06:29,5,https://www.youtube.com/playlist?list=PLlNqyLg7AQBAsm2SvtI9pLLECe236yl5f,,27/05/2019
164,GBC,Casper (GBC),,Adventure,,4:16:25,2,https://youtu.be/UorxApp8rkM,,22/05/2019
163,SMS,Shooting Gallery,,Shooter,,5:01:50,7,https://youtu.be/LjcGM_uXpKs,,20/05/2019
162,C64,Toobin',,Arcade,,1:46:20,4,https://youtu.be/fj-S2ubigU0,,20/05/2019
161,PS4,What Remains of Edith Finch,,Interactive Story,,2:19:11,7,https://youtu.be/avkberZeNYs,,17/05/2019
160,N64,Duke Nukem: Zero Hour,,Shooter,,12:40:33,4,https://www.youtube.com/playlist?list=PLlNqyLg7AQBD_LBK531rlG4l98ArhMXLp,,06/05/2019
159,C64,Pinball Spectacular,,Pinball,,0:30:00,5,https://youtu.be/YRS--iz163U,,16/04/2019
158,GB,Battle Arena Toshinden,,Fighting,,0:31:23,6,https://youtu.be/CM-Td7YOAx0,,16/04/2019
157,SNES Mini,Super Ghouls 'N Ghosts,,Platformer,,5:33:07,8,https://www.youtube.com/playlist?list=PLlNqyLg7AQBCzq9taSISJ6x-AJ4x91HYI,,04/04/2019
156,XB360,Crysis 2,,FPS,,11:02:52,7,https://www.youtube.com/playlist?list=PLlNqyLg7AQBB_nFutzT8W74n-yVQzcyAc,,03/04/2019
155,Wii,Hot Wheels: Beat That!,,Racing,,16:06:53,4,https://www.youtube.com/playlist?list=PLlNqyLg7AQBCR4NHrn6NpHqhK9NYl9GAt,,29/03/2019
154,NES,Hook,,Platformer,,1:55:07,7,https://youtu.be/1DNKQiU_Ks8,,25/03/2019
153,GB,Blades Of Steel,,Sports,,0:53:13,6,https://youtu.be/9H9dNsnTXMc,,19/03/2019
152,Wii U,Skylanders: Superchargers,,Action/Adventure,,10:58:17,4,https://www.youtube.com/playlist?list=PLlNqyLg7AQBA8fFFO9EmUjas8gIlJW8-S,,19/03/2019
151,GB,Tiny Toon Adventures: Wacky Sports,,Sports,,1:36:48,5,https://youtu.be/xNyi41Of5vk,,12/03/2019
150,N64,Top Gear Rally,,Racing,,2:52:54,7,https://youtu.be/q66bHU2pxW4,,08/03/2019
149,Wii,Donkey Kong Country Returns,,Platformer,,8:14:15,8,https://www.youtube.com/playlist?list=PLlNqyLg7AQBCV0DAwo5EV1swYCA6fhIuc,,28/02/2019
148,GBC,Turok 2: Seeds of Evil,,Platformer,,2:52:03,3,https://youtu.be/_MneO-6gz-o,,15/02/2019
147,GB,Bomber Man GB,,Action/Puzzle,,1:21:17,6,https://youtu.be/z6DeTwxxIY0,,15/02/2019
146,GB,NFL Quarterback Club,,Sports,,0:18:09,3,https://youtu.be/YtuX5seBImY,,15/02/2019
145,CDi,Link: The Faces of Evil,,Adventure/Platformer,,4:50:23,6,https://youtu.be/vLldYa6ctxM,,13/02/2019
144,XBONE,WRC 6,,Racing,,17:53:24,5,https://www.youtube.com/playlist?list=PLlNqyLg7AQBBfshTFTow6mUjyD_pY-YXc,,02/02/2019
143,XBONE,Never Alone,,Platformer,,2:24:24,5,https://youtu.be/eYqAi31yWE4,,02/01/2019
142,XBONE,The Witness,,Puzzle/Adventure,,19:28:36,8,https://www.youtube.com/playlist?list=PLlNqyLg7AQBADMHTsop2IW_Qg8df9glE5,,27/12/2018
141,3DS,Tetris,,Puzzle,,6:42:35,4,https://www.youtube.com/playlist?list=PLlNqyLg7AQBC4Nylv2AV-wvt8U87FUJIV,,18/12/2018
140,SMS,Fantasy Zone,,Shmup,,1:25:14,7,https://youtu.be/YnU8txz7djA,,17/12/2018
139,PS4,Spyro: Year of the Dragon,Spyro Reignited Trilogy,Platformer,,13:06:00,7,https://www.youtube.com/playlist?list=PLlNqyLg7AQBCW9DmoHTwhe4HHiH8qGvLI,,13/12/2018
138,GB,Diamaze,,Adventure/Platformer,,1:37:30,7,https://youtu.be/znK8rL8uIEU,,28/11/2018
137,PS4,Spyro: Ripto's Rage,Spyro Reignited Trilogy,Platformer,,11:31:29,6,https://www.youtube.com/playlist?list=PLlNqyLg7AQBBbchOm1JJjn7Jlpqte6lxt,,26/11/2018
136,SMS,Super Monaco GP,,Racing,,1:28:49,6,https://youtu.be/RqCogez_4cI,,24/11/2018
135,PS4,Spyro the Dragon,Spyro Reignited Trilogy,Platformer,,8:57:46,9,https://www.youtube.com/playlist?list=PLlNqyLg7AQBADEZrr-Vx-6ontsX0Utr_A,,16/11/2018
134,XBONE,R.C. Pro-Am II,Rare Replay,Racing,,1:48:44,3,https://youtu.be/5G9elcm2EW8,,07/11/2018
133,GB,Yu-Gi-Oh! Duel Monsters,,Cardgame,,10:29:38,7,https://www.youtube.com/playlist?list=PLlNqyLg7AQBCu8YgUM3Wwvel-z6IjcHz2,,21/09/2018
132,PS2,Scarface: The World Is Yours,,Open World,,23:16:41,4,https://www.youtube.com/playlist?list=PLlNqyLg7AQBDIw8MlHLf2h1jfwsTu1jvp,,18/09/2018
131,SNES,U.N. Squadron,,Shmup,,1:13:20,8,https://youtu.be/a3XmgQtlnXs,,07/09/2018
130,Amiga,Marvin's Marvelous Adventure,,Platformer,,4:25:53,5,https://youtu.be/Cz54C5uK3kQ,,05/09/2018
129,Lynx,Rampage,,Beat 'm Up,,1:59:25,5,https://youtu.be/3gUh3X5Z1GE,,20/08/2018
128,PS4,Horizon Chase Turbo,,Racing,,24:49:01,6,https://www.youtube.com/playlist?list=PLlNqyLg7AQBBu4zOZoYKq6fUoVzplAJAt,,15/08/2018
127,GBA,Jackie Chan Adventures: Legend of the Dark Hand,,Beat 'm Up,,2:55:15,4,https://youtu.be/ksjbwJ7b0Ps,,16/07/2018
126,XBONE,Viva Piñata,Rare Replay,Virtual Pet,,50:00:00,8,https://www.youtube.com/playlist?list=PLlNqyLg7AQBAe9-dKYG2SKECcA-OnGPoW,,13/06/2018
125,PS2,Serious Sam: Next Encounter,,FPS,,10:52:55,6,https://www.youtube.com/playlist?list=PLlNqyLg7AQBAXMvGmwi1gzHckX_s4HxzB,,12/05/2018
124,GB,V-Rally,,Racing,,1:10:45,7,https://youtu.be/jiqBqjuGn2M,,23/04/2018
123,SNES Mini,The Legend of Zelda: A Link to the Past,,Action/Adventure,,13:39:19,8,https://www.youtube.com/playlist?list=PLlNqyLg7AQBCT049fE17v_Tm06oUfX_dK,,20/04/2018
122,PS4,Rime,,Puzzle Platformer,,5:03:38,7,https://youtu.be/I9ZiLtvF7XI,,19/04/2018
121,PSP,Gran Turismo,,Racing,,14:03:53,6,https://www.youtube.com/playlist?list=PLlNqyLg7AQBDthJ6VYJGrgSoH1ykKbVc7,,11/04/2018
120,NDS,Trauma Center: Under The Knife,,Action/Survival,,8:57:14,6,https://www.youtube.com/playlist?list=PLlNqyLg7AQBBEEAMiDCAatUMrTGW9PI2O,,23/03/2018
119,PS1,Duke Nukem,,FPS,,13:04:14,4,https://www.youtube.com/playlist?list=PLlNqyLg7AQBAzCal5cpyLr6EVNjzkJsIy,,13/03/2018
118,SNES Mini,Kirby's Dream Course,,Sports,,3:08:35,9,https://youtu.be/HEShz6HiPbU,,01/03/2018
117,PS4,Knack,,Beat 'm Up,,12:24:28,5,https://www.youtube.com/playlist?list=PLlNqyLg7AQBAObW9LxZb3s0vJTEFhJma3,,27/02/2018
116,GB,Doraemon 2: Animal Wakusei Densetsu,,Misc.,,0:48:02,8,https://youtu.be/OMvza0OlpmY,,23/02/2018
115,GBC,Metal Gear Solid,,Tactical Shooter,,9:30:32,7,https://www.youtube.com/playlist?list=PLlNqyLg7AQBDL9Rs0FDwyFcJKYev7QbwE,,23/02/0218
114,GBC,Hugo,,Platformer,,2:50:24,6,https://youtu.be/-a3fgVruTa0,,08/02/2018
113,Wii,Kirby's Epic Yarn,,Platformer,,4:19:06,8,https://youtu.be/JKkhEifnBV0,,06/02/2018
112,PS4,Ratchet & Clank,,Platformer,,11:18:08,8,https://www.youtube.com/playlist?list=PLlNqyLg7AQBBdVz8k7T7AM4S3hxz_7quR,,02/02/2018
111,SMS,Tom & Jerry: The Movie,,Platformer,,0:19:06,7,https://youtu.be/sxQZcFQDKhg,,02/02/2018
110,PS1,Final Fantasy VIII,,RPG,,38:08:57,5,https://www.youtube.com/playlist?list=PLlNqyLg7AQBCVUQGDL3RBnVQDge-atvcN,,28/01/2018
109,PC,In the Line of Duty: Firefighter,,Action/Adventure,,1:54:30,3,https://youtu.be/KJFrquuFoLk,,27/01/2018
108,PS1,Independence Day: The Game,,Shmup,,1:52:00,3,https://youtu.be/GWqSK47nFYE,,15/12/2017
107,SNES,Art of Fighting,,Fighting,,0:44:41,7,https://youtu.be/ihvZaijKC2o,,14/12/2017
106,PS2,Drakengard,,RPG,,9:40:00,4,https://www.youtube.com/playlist?list=PLlNqyLg7AQBDr7AI-W1FVcWpLvcuPsMvv,,09/12/2017
105,PS2,Burnout,,Racing,,4:09:35,8,https://www.youtube.com/watch?v=9FmmsRDoRs8&list=PLlNqyLg7AQBDaLTfJX_UmdVqlwbpOoo8u,,27/11/2017